dt_venda,cd_empresa,cd_mercadoria,qt_vendida
2016-01-01,1,117661,616
2016-02-01,1,117661,207
2016-03-01,1,117661,584
2016-04-01,1,117661,236
2016-05-01,1,117661,1002
2016-06-01,1,117661,261
2016-07-01,1,117661,974
2016-08-01,1,117661,524
2016-11-01,1,117661,906
2016-12-01,1,117661,713
2017-01-01,1,117661,788
2017-02-01,1,117661,494
2017-03-01,1,117661,868
2017-04-01,1,117661,500
2017-05-01,1,117661,645
2017-06-01,1,117661,632
2017-07-01,1,117661,365
2017-08-01,1,117661,1070
2017-09-01,1,117661,469
2017-10-01,1,117661,219
2017-11-01,1,117661,1289
2017-12-01,1,117661,165
2018-01-01,1,117661,609
2018-02-01,1,117661,548
2018-03-01,1,117661,299
2018-04-01,1,117661,503
2018-05-01,1,117661,292
2018-06-01,1,117661,422
2018-07-01,1,117661,437
2018-08-01,1,117661,393
2018-09-01,1,117661,442
2018-10-01,1,117661,322
2018-11-01,1,117661,39
2016-01-01,1,117679,398
2016-02-01,1,117679,403
2016-03-01,1,117679,285
2016-04-01,1,117679,0
2016-05-01,1,117679,0
2016-06-01,1,117679,0
2016-07-01,1,117679,511
2016-08-01,1,117679,630
2016-11-01,1,117679,320
2016-12-01,1,117679,270
2017-01-01,1,117679,399
2017-02-01,1,117679,352
2017-03-01,1,117679,785
2017-04-01,1,117679,267
2017-05-01,1,117679,232
2017-06-01,1,117679,232
2017-07-01,1,117679,221
2017-08-01,1,117679,443
2017-09-01,1,117679,394
2017-10-01,1,117679,323
2017-11-01,1,117679,408
2017-12-01,1,117679,507
2018-01-01,1,117679,553
2018-02-01,1,117679,549
2018-03-01,1,117679,895
2018-04-01,1,117679,547
2018-05-01,1,117679,530
2018-06-01,1,117679,449
2018-07-01,1,117679,500
2018-08-01,1,117679,493
2018-09-01,1,117679,364
2018-10-01,1,117679,595
2018-11-01,1,117679,120
2016-01-01,1,117687,706
2016-02-01,1,117687,503
2016-03-01,1,117687,1949
2016-04-01,1,117687,953
2016-05-01,1,117687,2465
2016-06-01,1,117687,1145
2016-07-01,1,117687,4615
2016-08-01,1,117687,1213
2016-11-01,1,117687,4136
2016-12-01,1,117687,4798
2017-01-01,1,117687,1580
2017-02-01,1,117687,4009
2017-03-01,1,117687,7677
2017-04-01,1,117687,5398
2017-05-01,1,117687,9202
2017-06-01,1,117687,3547
2017-07-01,1,117687,3125
2017-08-01,1,117687,5198
2017-09-01,1,117687,3388
2017-10-01,1,117687,2023
2017-11-01,1,117687,5751
2017-12-01,1,117687,5564
2018-01-01,1,117687,2140
2018-02-01,1,117687,1821
2018-03-01,1,117687,8171
2018-04-01,1,117687,1954
2018-05-01,1,117687,4472
2018-06-01,1,117687,6515
2018-07-01,1,117687,2489
2018-08-01,1,117687,3266
2018-09-01,1,117687,1225
2018-10-01,1,117687,1101
2018-11-01,1,117687,296
2016-01-01,1,117700,0
2016-02-01,1,117700,0
2016-03-01,1,117700,480
2016-04-01,1,117700,0
2016-05-01,1,117700,0
2016-06-01,1,117700,960
2016-07-01,1,117700,0
2016-08-01,1,117700,0
2016-11-01,1,117700,480
2016-12-01,1,117700,864
2017-01-01,1,117700,366
2017-02-01,1,117700,202
2017-03-01,1,117700,1037
2017-04-01,1,117700,375
2017-05-01,1,117700,1784
2017-06-01,1,117700,731
2017-07-01,1,117700,245
2017-08-01,1,117700,562
2017-09-01,1,117700,438
2017-10-01,1,117700,226
2017-11-01,1,117700,780
2017-12-01,1,117700,310
2018-01-01,1,117700,332
2018-02-01,1,117700,581
2018-03-01,1,117700,432
2018-04-01,1,117700,391
2018-05-01,1,117700,311
2018-06-01,1,117700,289
2018-07-01,1,117700,268
2018-08-01,1,117700,243
2018-09-01,1,117700,240
2018-10-01,1,117700,295
2018-11-01,1,117700,47
2016-01-01,1,117718,277
2016-02-01,1,117718,175
2016-03-01,1,117718,525
2016-04-01,1,117718,233
2016-05-01,1,117718,316
2016-06-01,1,117718,331
2016-07-01,1,117718,375
2016-08-01,1,117718,266
2016-11-01,1,117718,462
2016-12-01,1,117718,571
2017-01-01,1,117718,286
2017-02-01,1,117718,339
2017-03-01,1,117718,581
2017-04-01,1,117718,450
2017-05-01,1,117718,484
2017-06-01,1,117718,537
2017-07-01,1,117718,420
2017-08-01,1,117718,428
2017-09-01,1,117718,341
2017-10-01,1,117718,286
2017-11-01,1,117718,413
2017-12-01,1,117718,323
2018-01-01,1,117718,667
2018-02-01,1,117718,581
2018-03-01,1,117718,441
2018-04-01,1,117718,795
2018-05-01,1,117718,340
2018-06-01,1,117718,469
2018-07-01,1,117718,481
2018-08-01,1,117718,482
2018-09-01,1,117718,487
2018-10-01,1,117718,384
2018-11-01,1,117718,57
2016-01-01,1,117726,39
2016-02-01,1,117726,16
2016-03-01,1,117726,60
2016-04-01,1,117726,68
2016-05-01,1,117726,281
2016-06-01,1,117726,110
2016-07-01,1,117726,77
2016-08-01,1,117726,71
2016-11-01,1,117726,38
2016-12-01,1,117726,29
2017-01-01,1,117726,37
2017-02-01,1,117726,16
2017-03-01,1,117726,79
2017-04-01,1,117726,76
2017-05-01,1,117726,66
2017-06-01,1,117726,36
2017-07-01,1,117726,84
2017-08-01,1,117726,38
2017-09-01,1,117726,55
2017-10-01,1,117726,29
2017-11-01,1,117726,66
2017-12-01,1,117726,26
2018-01-01,1,117726,15
2018-02-01,1,117726,39
2018-03-01,1,117726,110
