dt_venda;cd_empresa;cd_mercadoria;qt_vendida
01.01.2016 00:00:00;1;563;45
01.02.2016 00:00:00;1;563;157
01.03.2016 00:00:00;1;563;0
01.04.2016 00:00:00;1;563;109
01.05.2016 00:00:00;1;563;45
01.06.2016 00:00:00;1;563;57
01.07.2016 00:00:00;1;563;37
01.08.2016 00:00:00;1;563;37
01.11.2016 00:00:00;1;563;29
01.12.2016 00:00:00;1;563;52
01.01.2017 00:00:00;1;563;16
01.02.2017 00:00:00;1;563;30
01.03.2017 00:00:00;1;563;44
01.04.2017 00:00:00;1;563;29
01.05.2017 00:00:00;1;563;46
01.06.2017 00:00:00;1;563;36
01.07.2017 00:00:00;1;563;21
01.08.2017 00:00:00;1;563;13
01.09.2017 00:00:00;1;563;23
01.10.2017 00:00:00;1;563;30
01.11.2017 00:00:00;1;563;19
01.12.2017 00:00:00;1;563;30
01.01.2018 00:00:00;1;563;38
01.02.2018 00:00:00;1;563;40
01.03.2018 00:00:00;1;563;65
01.04.2018 00:00:00;1;563;24
01.05.2018 00:00:00;1;563;19
01.06.2018 00:00:00;1;563;20
01.07.2018 00:00:00;1;563;28
01.08.2018 00:00:00;1;563;27
01.09.2018 00:00:00;1;563;29
01.10.2018 00:00:00;1;563;12
01.11.2018 00:00:00;1;563;16
01.12.2018 00:00:00;1;563;26
01.01.2019 00:00:00;1;563;10
01.01.2016 00:00:00;1;759;1413
01.02.2016 00:00:00;1;759;1476
01.03.2016 00:00:00;1;759;1128
01.04.2016 00:00:00;1;759;985
01.05.2016 00:00:00;1;759;689
01.06.2016 00:00:00;1;759;483
01.07.2016 00:00:00;1;759;464
01.08.2016 00:00:00;1;759;559
01.11.2016 00:00:00;1;759;423
01.12.2016 00:00:00;1;759;447
01.01.2017 00:00:00;1;759;483
01.02.2017 00:00:00;1;759;316
01.03.2017 00:00:00;1;759;582
01.04.2017 00:00:00;1;759;348
01.05.2017 00:00:00;1;759;469
01.06.2017 00:00:00;1;759;427
01.07.2017 00:00:00;1;759;397
01.08.2017 00:00:00;1;759;355
01.09.2017 00:00:00;1;759;647
01.10.2017 00:00:00;1;759;595
01.11.2017 00:00:00;1;759;407
01.12.2017 00:00:00;1;759;410
01.01.2018 00:00:00;1;759;462
01.02.2018 00:00:00;1;759;392
01.03.2018 00:00:00;1;759;389
01.04.2018 00:00:00;1;759;374
01.05.2018 00:00:00;1;759;374
01.06.2018 00:00:00;1;759;450
01.07.2018 00:00:00;1;759;376
01.08.2018 00:00:00;1;759;340
01.09.2018 00:00:00;1;759;327
01.10.2018 00:00:00;1;759;339
01.11.2018 00:00:00;1;759;311
01.12.2018 00:00:00;1;759;343
01.01.2019 00:00:00;1;759;254
01.01.2016 00:00:00;1;775;6153
01.02.2016 00:00:00;1;775;5073
01.03.2016 00:00:00;1;775;1499
01.04.2016 00:00:00;1;775;2267
01.05.2016 00:00:00;1;775;2517
01.06.2016 00:00:00;1;775;2710
01.07.2016 00:00:00;1;775;2180
01.08.2016 00:00:00;1;775;1981
01.11.2016 00:00:00;1;775;1872
01.12.2016 00:00:00;1;775;1654
01.01.2017 00:00:00;1;775;1661
01.02.2017 00:00:00;1;775;1807
01.03.2017 00:00:00;1;775;2441
01.04.2017 00:00:00;1;775;2486
01.05.2017 00:00:00;1;775;1821
01.06.2017 00:00:00;1;775;2466
01.07.2017 00:00:00;1;775;1733
01.08.2017 00:00:00;1;775;1050
01.09.2017 00:00:00;1;775;1704
01.10.2017 00:00:00;1;775;2601
01.11.2017 00:00:00;1;775;1529
01.12.2017 00:00:00;1;775;2090
01.01.2018 00:00:00;1;775;1441
01.02.2018 00:00:00;1;775;1187
01.03.2018 00:00:00;1;775;1765
01.04.2018 00:00:00;1;775;1302
01.05.2018 00:00:00;1;775;2066
01.06.2018 00:00:00;1;775;2446
01.07.2018 00:00:00;1;775;1699
01.08.2018 00:00:00;1;775;1503
01.09.2018 00:00:00;1;775;837
01.10.2018 00:00:00;1;775;1498
01.11.2018 00:00:00;1;775;1686
01.12.2018 00:00:00;1;775;1241
01.01.2019 00:00:00;1;775;718
01.01.2016 00:00:00;1;872;6900
01.02.2016 00:00:00;1;872;11300
01.03.2016 00:00:00;1;872;6204
01.04.2016 00:00:00;1;872;6508
01.05.2016 00:00:00;1;872;5124
01.06.2016 00:00:00;1;872;10115
01.07.2016 00:00:00;1;872;6370
01.08.2016 00:00:00;1;872;6830
01.11.2016 00:00:00;1;872;7012
01.12.2016 00:00:00;1;872;5587
01.01.2017 00:00:00;1;872;7653
01.02.2017 00:00:00;1;872;9782
01.03.2017 00:00:00;1;872;8322
01.04.2017 00:00:00;1;872;8454
01.05.2017 00:00:00;1;872;6098
01.06.2017 00:00:00;1;872;7893
01.07.2017 00:00:00;1;872;8129
01.08.2017 00:00:00;1;872;4611
01.09.2017 00:00:00;1;872;6960
01.10.2017 00:00:00;1;872;7199
01.11.2017 00:00:00;1;872;6009
01.12.2017 00:00:00;1;872;7849
01.01.2018 00:00:00;1;872;4222
01.02.2018 00:00:00;1;872;4214
01.03.2018 00:00:00;1;872;11460
01.04.2018 00:00:00;1;872;4680
01.05.2018 00:00:00;1;872;6508
01.06.2018 00:00:00;1;872;11587
01.07.2018 00:00:00;1;872;3884
01.08.2018 00:00:00;1;872;4662
01.09.2018 00:00:00;1;872;4542
01.10.2018 00:00:00;1;872;5067
01.11.2018 00:00:00;1;872;5568
01.12.2018 00:00:00;1;872;3097
01.01.2019 00:00:00;1;872;1761
01.01.2016 00:00:00;1;945;354
01.02.2016 00:00:00;1;945;370
01.03.2016 00:00:00;1;945;415
01.04.2016 00:00:00;1;945;222
01.05.2016 00:00:00;1;945;342
01.06.2016 00:00:00;1;945;438
01.07.2016 00:00:00;1;945;382
01.08.2016 00:00:00;1;945;307
01.11.2016 00:00:00;1;945;0
01.12.2016 00:00:00;1;945;300
01.01.2017 00:00:00;1;945;233
01.02.2017 00:00:00;1;945;166
01.03.2017 00:00:00;1;945;125
01.04.2017 00:00:00;1;945;206
01.05.2017 00:00:00;1;945;342
01.06.2017 00:00:00;1;945;117
01.07.2017 00:00:00;1;945;163
01.08.2017 00:00:00;1;945;219
01.09.2017 00:00:00;1;945;321
01.10.2017 00:00:00;1;945;227
01.11.2017 00:00:00;1;945;423
01.12.2017 00:00:00;1;945;190
01.01.2018 00:00:00;1;945;238
01.02.2018 00:00:00;1;945;488
01.03.2018 00:00:00;1;945;142
01.04.2018 00:00:00;1;945;353
01.05.2018 00:00:00;1;945;168
01.06.2018 00:00:00;1;945;175
01.07.2018 00:00:00;1;945;217
01.08.2018 00:00:00;1;945;307
01.09.2018 00:00:00;1;945;141
01.10.2018 00:00:00;1;945;0
01.11.2018 00:00:00;1;945;0
01.12.2018 00:00:00;1;945;0
01.01.2019 00:00:00;1;945;0
01.01.2016 00:00:00;1;11815;0
01.02.2016 00:00:00;1;11815;15
01.03.2016 00:00:00;1;11815;75
01.04.2016 00:00:00;1;11815;42
01.05.2016 00:00:00;1;11815;67
01.06.2016 00:00:00;1;11815;131
01.07.2016 00:00:00;1;11815;86
01.08.2016 00:00:00;1;11815;44
01.11.2016 00:00:00;1;11815;26
01.12.2016 00:00:00;1;11815;8
01.01.2017 00:00:00;1;11815;7
01.02.2017 00:00:00;1;11815;17
01.03.2017 00:00:00;1;11815;13
01.04.2017 00:00:00;1;11815;18
01.05.2017 00:00:00;1;11815;38
01.06.2017 00:00:00;1;11815;27
01.07.2017 00:00:00;1;11815;48
01.08.2017 00:00:00;1;11815;23
01.09.2017 00:00:00;1;11815;24
01.10.2017 00:00:00;1;11815;38
01.11.2017 00:00:00;1;11815;23
01.12.2017 00:00:00;1;11815;31
01.01.2018 00:00:00;1;11815;25
01.02.2018 00:00:00;1;11815;26
01.03.2018 00:00:00;1;11815;30
01.04.2018 00:00:00;1;11815;32
01.05.2018 00:00:00;1;11815;26
01.06.2018 00:00:00;1;11815;37
01.07.2018 00:00:00;1;11815;44
01.08.2018 00:00:00;1;11815;16
01.09.2018 00:00:00;1;11815;5
01.10.2018 00:00:00;1;11815;13
01.11.2018 00:00:00;1;11815;11
01.12.2018 00:00:00;1;11815;10
01.01.2019 00:00:00;1;11815;7
01.01.2016 00:00:00;1;11823;69
01.02.2016 00:00:00;1;11823;53
01.03.2016 00:00:00;1;11823;80
01.04.2016 00:00:00;1;11823;70
01.05.2016 00:00:00;1;11823;159
01.06.2016 00:00:00;1;11823;141
01.07.2016 00:00:00;1;11823;64
01.08.2016 00:00:00;1;11823;45
01.11.2016 00:00:00;1;11823;13
01.12.2016 00:00:00;1;11823;7
01.01.2017 00:00:00;1;11823;11
01.02.2017 00:00:00;1;11823;7
01.03.2017 00:00:00;1;11823;7
01.04.2017 00:00:00;1;11823;11
01.05.2017 00:00:00;1;11823;24
01.06.2017 00:00:00;1;11823;24
01.07.2017 00:00:00;1;11823;11
01.08.2017 00:00:00;1;11823;28
01.09.2017 00:00:00;1;11823;9
01.10.2017 00:00:00;1;11823;9
01.11.2017 00:00:00;1;11823;15
01.12.2017 00:00:00;1;11823;9
01.01.2018 00:00:00;1;11823;9
01.02.2018 00:00:00;1;11823;8
01.03.2018 00:00:00;1;11823;5
01.04.2018 00:00:00;1;11823;11
01.05.2018 00:00:00;1;11823;23
01.06.2018 00:00:00;1;11823;12
01.07.2018 00:00:00;1;11823;16
01.08.2018 00:00:00;1;11823;3
01.09.2018 00:00:00;1;11823;11
01.10.2018 00:00:00;1;11823;13
01.11.2018 00:00:00;1;11823;4
01.12.2018 00:00:00;1;11823;5
01.01.2019 00:00:00;1;11823;3
01.01.2016 00:00:00;1;20814;139
01.02.2016 00:00:00;1;20814;262
01.03.2016 00:00:00;1;20814;28
01.04.2016 00:00:00;1;20814;225
01.05.2016 00:00:00;1;20814;176
01.06.2016 00:00:00;1;20814;171
01.07.2016 00:00:00;1;20814;83
01.08.2016 00:00:00;1;20814;75
01.11.2016 00:00:00;1;20814;68
01.12.2016 00:00:00;1;20814;74
01.01.2017 00:00:00;1;20814;81
01.02.2017 00:00:00;1;20814;42
01.03.2017 00:00:00;1;20814;75
01.04.2017 00:00:00;1;20814;64
01.05.2017 00:00:00;1;20814;113
01.06.2017 00:00:00;1;20814;95
01.07.2017 00:00:00;1;20814;68
01.08.2017 00:00:00;1;20814;98
01.09.2017 00:00:00;1;20814;94
01.10.2017 00:00:00;1;20814;102
01.11.2017 00:00:00;1;20814;52
01.12.2017 00:00:00;1;20814;95
01.01.2018 00:00:00;1;20814;122
01.02.2018 00:00:00;1;20814;103
01.03.2018 00:00:00;1;20814;146
01.04.2018 00:00:00;1;20814;151
01.05.2018 00:00:00;1;20814;256
01.06.2018 00:00:00;1;20814;292
01.07.2018 00:00:00;1;20814;194
01.08.2018 00:00:00;1;20814;223
01.09.2018 00:00:00;1;20814;152
