dt_venda;cd_empresa;cd_mercadoria;qt_vendida
01.01.2016 00:00:00;1;117661;616
01.02.2016 00:00:00;1;117661;207
01.03.2016 00:00:00;1;117661;584
01.04.2016 00:00:00;1;117661;236
01.05.2016 00:00:00;1;117661;1002
01.06.2016 00:00:00;1;117661;261
01.07.2016 00:00:00;1;117661;974
01.08.2016 00:00:00;1;117661;524
01.11.2016 00:00:00;1;117661;906
01.12.2016 00:00:00;1;117661;713
01.01.2017 00:00:00;1;117661;788
01.02.2017 00:00:00;1;117661;494
01.03.2017 00:00:00;1;117661;868
01.04.2017 00:00:00;1;117661;500
01.05.2017 00:00:00;1;117661;645
01.06.2017 00:00:00;1;117661;632
01.07.2017 00:00:00;1;117661;365
01.08.2017 00:00:00;1;117661;1070
01.09.2017 00:00:00;1;117661;469
01.10.2017 00:00:00;1;117661;219
01.11.2017 00:00:00;1;117661;1289
01.12.2017 00:00:00;1;117661;165
01.01.2018 00:00:00;1;117661;609
01.02.2018 00:00:00;1;117661;548
01.03.2018 00:00:00;1;117661;299
01.04.2018 00:00:00;1;117661;503
01.05.2018 00:00:00;1;117661;292
01.06.2018 00:00:00;1;117661;422
01.07.2018 00:00:00;1;117661;437
01.08.2018 00:00:00;1;117661;393
01.09.2018 00:00:00;1;117661;442
01.10.2018 00:00:00;1;117661;322
01.11.2018 00:00:00;1;117661;250
01.12.2018 00:00:00;1;117661;488
01.01.2019 00:00:00;1;117661;1006
01.01.2016 00:00:00;1;117679;398
01.02.2016 00:00:00;1;117679;403
01.03.2016 00:00:00;1;117679;285
01.04.2016 00:00:00;1;117679;0
01.05.2016 00:00:00;1;117679;0
01.06.2016 00:00:00;1;117679;0
01.07.2016 00:00:00;1;117679;511
01.08.2016 00:00:00;1;117679;630
01.11.2016 00:00:00;1;117679;320
01.12.2016 00:00:00;1;117679;270
01.01.2017 00:00:00;1;117679;399
01.02.2017 00:00:00;1;117679;352
01.03.2017 00:00:00;1;117679;785
01.04.2017 00:00:00;1;117679;267
01.05.2017 00:00:00;1;117679;232
01.06.2017 00:00:00;1;117679;232
01.07.2017 00:00:00;1;117679;221
01.08.2017 00:00:00;1;117679;443
01.09.2017 00:00:00;1;117679;394
01.10.2017 00:00:00;1;117679;323
01.11.2017 00:00:00;1;117679;408
01.12.2017 00:00:00;1;117679;507
01.01.2018 00:00:00;1;117679;553
01.02.2018 00:00:00;1;117679;549
01.03.2018 00:00:00;1;117679;895
01.04.2018 00:00:00;1;117679;547
01.05.2018 00:00:00;1;117679;530
01.06.2018 00:00:00;1;117679;449
01.07.2018 00:00:00;1;117679;500
01.08.2018 00:00:00;1;117679;493
01.09.2018 00:00:00;1;117679;364
01.10.2018 00:00:00;1;117679;595
01.11.2018 00:00:00;1;117679;447
01.12.2018 00:00:00;1;117679;1899
01.01.2019 00:00:00;1;117679;850
01.01.2016 00:00:00;1;117687;706
01.02.2016 00:00:00;1;117687;503
01.03.2016 00:00:00;1;117687;1949
01.04.2016 00:00:00;1;117687;953
01.05.2016 00:00:00;1;117687;2465
01.06.2016 00:00:00;1;117687;1145
01.07.2016 00:00:00;1;117687;4615
01.08.2016 00:00:00;1;117687;1213
01.11.2016 00:00:00;1;117687;4136
01.12.2016 00:00:00;1;117687;4798
01.01.2017 00:00:00;1;117687;1580
01.02.2017 00:00:00;1;117687;4009
01.03.2017 00:00:00;1;117687;7677
01.04.2017 00:00:00;1;117687;5398
01.05.2017 00:00:00;1;117687;9202
01.06.2017 00:00:00;1;117687;3547
01.07.2017 00:00:00;1;117687;3125
01.08.2017 00:00:00;1;117687;5198
01.09.2017 00:00:00;1;117687;3388
01.10.2017 00:00:00;1;117687;2023
01.11.2017 00:00:00;1;117687;5751
01.12.2017 00:00:00;1;117687;5564
01.01.2018 00:00:00;1;117687;2140
01.02.2018 00:00:00;1;117687;1821
01.03.2018 00:00:00;1;117687;8171
01.04.2018 00:00:00;1;117687;1954
01.05.2018 00:00:00;1;117687;4472
01.06.2018 00:00:00;1;117687;6515
01.07.2018 00:00:00;1;117687;2489
01.08.2018 00:00:00;1;117687;3266
01.09.2018 00:00:00;1;117687;1225
01.10.2018 00:00:00;1;117687;1101
01.11.2018 00:00:00;1;117687;822
01.12.2018 00:00:00;1;117687;4703
01.01.2019 00:00:00;1;117687;2671
01.01.2016 00:00:00;1;117700;0
01.02.2016 00:00:00;1;117700;0
01.03.2016 00:00:00;1;117700;480
01.04.2016 00:00:00;1;117700;0
01.05.2016 00:00:00;1;117700;0
01.06.2016 00:00:00;1;117700;960
01.07.2016 00:00:00;1;117700;0
01.08.2016 00:00:00;1;117700;0
01.11.2016 00:00:00;1;117700;480
01.12.2016 00:00:00;1;117700;864
01.01.2017 00:00:00;1;117700;366
01.02.2017 00:00:00;1;117700;202
01.03.2017 00:00:00;1;117700;1037
01.04.2017 00:00:00;1;117700;375
01.05.2017 00:00:00;1;117700;1784
01.06.2017 00:00:00;1;117700;731
01.07.2017 00:00:00;1;117700;245
01.08.2017 00:00:00;1;117700;562
01.09.2017 00:00:00;1;117700;438
01.10.2017 00:00:00;1;117700;226
01.11.2017 00:00:00;1;117700;780
01.12.2017 00:00:00;1;117700;310
01.01.2018 00:00:00;1;117700;332
01.02.2018 00:00:00;1;117700;581
